IDX,Applicant_ID,Total_Experience,Total_Experience_in_field_applied,Department,Role,Industry,Organization,Designation,Education,Graduation_Specialization,University_Grad,Passing_Year_Of_Graduation,PG_Specialization,University_PG,Passing_Year_Of_PG,PHD_Specialization,University_PHD,Passing_Year_Of_PHD,Curent_Location,Preferred_location,Current_CTC,Inhand_Offer,Last_Appraisal_Rating,No_Of_Companies_worked,Number_of_Publications,Certifications,International_degree_any,Expected_CTC
11,47373,13,10,Education,Business Analyst,Automobile,L,Consultant,Doctorate,Mathematics,Mangalore,2000,Mathematics,Mangalore,2002,Others,Guwahati,2007,Bangalore,Nagpur,2232801,Y,Key_Performer,3,3,0,0,3125921
12,36565,7,1,Marketing,Sales Manager,FMCG,E,CA,PG,Others,Mumbai,2004,Chemistry,Mumbai,2006,Others,Surat,2013,Jaipur,Mangalore,1351191,N,B,2,8,1,0,1756548
13,11739,10,10,Others,Bio statistician,Automobile,H,Consultant,Under Grad,,,,,,,,,,Surat,Kanpur,1446451,N,C,3,2,1,0,1663418
14,14459,0,0,NA,NA,NA,NA,NA,PG,Engineering,Nagpur,2012,Engineering,Nagpur,2014,Engineering,Kolkata,2020,Nagpur,Bangalore,0,N,NA,0,6,0,0,639655
15,45111,12,9,Banking,Bio statistician,Telecom,J,Research Scientist,Grad,Zoology,Surat,2002,Others,Surat,2004,Others,Delhi,2008,Jaipur,Mumbai,1990865,N,C,6,3,0,0,2289494
16,29106,20,15,Healthcare,Analyst,IT,F,Medical Officer,PG,Sociology,Mumbai,2000,Sociology,Mumbai,2014,,,,Kolkata,Kolkata,2624073,N,B,5,1,0,0,3411294
17,48969,4,4,Analytics/BI,Scientist,Analytics,G,Sr.Manager,Doctorate,Mathematics,Kolkata,2016,Mathematics,Kolkata,2009,,,,Surat,Guwahati,1079725,Y,A,5,2,0,0,1572079
18,14662,21,7,Healthcare,Research Scientist,BFSI,G,Product Manager,Doctorate,Sociology,Lucknow,1990,Others,Lucknow,1992,Botony,Delhi,1999,Surat,Chennai,3495505,N,B,4,4,0,0,4718931
19,43538,14,9,Sales,Business Analyst,Telecom,M,Product Manager,Under Grad,,,,,,,,,,Bhubaneswar,Chennai,1290371,N,D,5,3,1,0,1483926
20,48945,8,3,Engineering,Consultant,Telecom,O,Manager,Doctorate,Engineering,Delhi,2004,Engineering,Delhi,2006,Engineering,Kolkata,2012,Surat,Bhubaneswar,2149333,N,C,3,3,0,0,2669471
21,39333,17,12,HR,Others,Training,M,Medical Officer,Grad,Arts,Ahmedabad,1997,Arts,Ahmedabad,1999,Arts,Mangalore,2003,Nagpur,Pune,2573882,N,D,4,3,0,0,2959964
22,48918,7,6,Banking,Analyst,Training,M,Sr.Manager,Doctorate,Mathematics,Jaipur,2013,Mathematics,Jaipur,2017,,,,Mangalore,Kanpur,1669585,N,A,6,2,0,0,2344097
23,33614,22,6,Top Management,Consultant,BFSI,D,Sr.Manager,Under Grad,,,,,,,,,,Delhi,Pune,2148699,Y,A,2,8,5,0,2793308
24,32375,15,10,Sales,Head,Insurance,N,Research Scientist,Grad,Botony,Jaipur,1999,Others,Jaipur,2001,Arts,Delhi,2005,Pune,Surat,2227905,N,B,2,7,0,0,2784881
25,26442,3,2,Banking,Associate,Aviation,A,Data Analyst,Doctorate,Statistics,Mumbai,2011,Statistics,Mumbai,2013,Statistics,Mangalore,2017,Guwahati,Mangalore,954597,Y,B,3,8,0,0,1336435
26,37263,21,20,Analytics/BI,Consultant,IT,J,Data Analyst,PG,Economics,Kolkata,1993,Economics,Kolkata,1995,Economics,Surat,1999,Ahmedabad,Kolkata,3559515,Y,Key_Performer,3,4,2,0,4698559
27,25517,5,4,Engineering,Consultant,Training,N,Assistant Manager,Grad,Chemistry,Delhi,2009,Chemistry,Delhi,2011,Chemistry,Kolkata,2015,Mumbai,Ahmedabad,525425,N,B,2,4,4,0,656781
28,48034,24,7,Analytics/BI,Analyst,Others,G,Product Manager,Grad,Statistics,Mangalore,1989,Others,Mangalore,1991,Mathematics,Lucknow,1996,Kanpur,Ahmedabad,2485496,Y,D,4,7,0,0,2926920
29,32522,19,7,Healthcare,Project Manager,Telecom,D,Others,Under Grad,,,,,,,,,,Kanpur,Delhi,2617413,Y,Key_Performer,3,4,1,0,3402636
30,43667,21,0,Healthcare,Head,IT,B,Data Analyst,Doctorate,Botony,Guwahati,1991,Botony,Guwahati,1993,Botony,Bhubaneswar,1999,Nagpur,Nagpur,2230602,N,C,3,8,0,1,2770407
31,23886,4,4,,Bio statistician,Others,O,Medical Officer,Under Grad,,,,,,,,,,Bangalore,Surat,565089,N,B,3,1,2,0,706361
32,43881,2,0,Banking,Sales Manager,FMCG,I,Manager,Grad,Zoology,Pune,2012,Zoology,Pune,2014,Zoology,Guwahati,2018,Pune,Surat,462225,N,A,3,8,0,0,577781
33,32906,12,0,,Senior Researcher,BFSI,N,Marketing Manager,PG,Arts,Nagpur,2008,,,,,,,Kanpur,Surat,1433186,N,D,6,0,0,0,1714090
34,16935,13,9,Healthcare,Analyst,Automobile,E,Others,PG,Others,Lucknow,2000,Chemistry,Lucknow,2002,Others,Pune,2007,Mumbai,Jaipur,2312085,Y,Key_Performer,2,8,1,0,3051952
35,14200,16,10,IT-Software,Consultant,Retail,K,Web Designer,Grad,Mathematics,Pune,1997,Others,Pune,1999,Mathematics,Delhi,2004,Guwahati,Lucknow,2449021,N,A,2,5,0,0,3061276
36,42405,12,12,Sales,Analyst,Insurance,P,Assistant Manager,Doctorate,Engineering,Ahmedabad,2002,Engineering,Ahmedabad,2004,Others,Delhi,2008,Jaipur,Lucknow,2458995,Y,Key_Performer,3,8,0,0,3442593
37,10277,3,0,Banking,Team Lead,Training,L,Marketing Manager,Under Grad,,,,,,,,,,Mangalore,Nagpur,649849,N,C,1,7,0,0,747326
38,22973,12,5,Banking,Project Manager,FMCG,P,Marketing Manager,PG,Mathematics,Bangalore,2001,Mathematics,Bangalore,2003,Mathematics,Bhubaneswar,2008,Bhubaneswar,Bangalore,1462196,N,C,4,7,1,0,1748786
39,43576,21,16,Others,Consultant,BFSI,H,Medical Officer,Under Grad,,,,,,,,,,Bangalore,Chennai,1787775,N,B,5,3,3,0,2234718
40,19243,25,6,Accounts,Analyst,FMCG,A,Consultant,PG,Engineering,Ahmedabad,1988,Engineering,Ahmedabad,1990,Others,Mangalore,1995,Bhubaneswar,Lucknow,1792177,N,C,4,8,0,0,2143443
41,22548,9,8,,Senior Researcher,Insurance,M,Sr.Manager,Under Grad,,,,,,,,,,Pune,Pune,972677,Y,Key_Performer,6,6,3,0,1264480
42,16643,4,0,Analytics/BI,Analyst,Insurance,I,Product Manager,Under Grad,,,,,,,,,,Pune,Bangalore,661222,N,B,2,8,1,0,826527
43,37297,8,2,Engineering,Scientist,Analytics,N,Web Designer,Grad,Chemistry,Jaipur,2005,Chemistry,Jaipur,2007,Chemistry,Mumbai,2012,Kanpur,Mumbai,1141979,Y,A,3,7,3,0,1520202
44,43058,2,2,,Sales Execituve,FMCG,A,Product Manager,Grad,Sociology,Guwahati,2018,,,,,,,Pune,Lucknow,584596,N,B,1,1,0,0,730745
45,35385,4,2,Analytics/BI,Analyst,IT,P,,Doctorate,Sociology,Jaipur,2016,,,,,,,Bhubaneswar,Mumbai,1082319,N,A,3,1,0,0,1519575
46,59337,25,25,Sales,Sales Execituve,Aviation,H,Sr.Manager,Grad,Engineering,Mumbai,1989,Engineering,Mumbai,1991,Engineering,Nagpur,1995,Delhi,Kanpur,2576903,Y,Key_Performer,3,6,0,0,3298435
47,46148,22,13,Marketing,Sales Manager,Retail,J,Marketing Manager,Grad,Economics,Ahmedabad,1991,Others,Ahmedabad,1993,Zoology,Delhi,1998,Mumbai,Bhubaneswar,2457436,Y,Key_Performer,2,3,0,0,3145518
48,38831,6,5,Accounts,Financial Analyst,BFSI,K,Web Designer,Grad,Economics,Ahmedabad,2008,Economics,Ahmedabad,2010,Economics,Mumbai,2014,Kolkata,Mumbai,558517,N,A,6,3,2,0,726072
49,57252,22,20,,Senior Researcher,Analytics,K,Others,PG,Zoology,Mumbai,1992,Zoology,Mumbai,1994,Zoology,Delhi,1998,Mumbai,Bhubaneswar,2745205,N,C,4,4,1,0,3283265
50,10066,2,2,Marketing,Sales Manager,Training,K,Assistant Manager,Grad,Mathematics,Surat,2011,Mathematics,Surat,2013,Mathematics,Nagpur,2018,Lucknow,Jaipur,527444,N,A,3,8,4,0,659305
51,57153,11,3,Education,Financial Analyst,IT,H,Marketing Manager,PG,Chemistry,Kolkata,2003,Others,Kolkata,2005,Others,Guwahati,2009,Guwahati,Lucknow,1746890,Y,Key_Performer,4,6,1,0,2305894
52,34919,11,10,Marketing,Head,Training,H,Marketing Manager,Under Grad,,,,,,,,,,Surat,Surat,1199098,N,B,4,7,3,1,1498872
53,33792,19,19,Education,Bio statistician,Training,E,HR,Doctorate,Statistics,Jaipur,2001,Statistics,Jaipur,2013,,,,Kolkata,Bangalore,2816631,N,C,2,2,0,0,3498255
54,44919,16,4,Banking,CEO,Training,L,Consultant,Doctorate,Botony,Bangalore,2004,Botony,Bangalore,2020,,,,Kolkata,Chennai,2598249,N,C,3,2,0,1,3227025
55,51657,9,4,Education,Consultant,Training,J,Medical Officer,Under Grad,,,,,,,,,,Mumbai,Jaipur,1503277,N,B,4,2,1,0,1879096
56,55421,22,1,Banking,CEO,Training,N,Product Manager,PG,Others,Lucknow,1991,Others,Lucknow,1993,Arts,Lucknow,1998,Jaipur,Pune,2429640,N,C,2,8,1,0,2905849
57,53365,7,2,Marketing,Scientist,Analytics,M,CA,PG,Economics,Bhubaneswar,2013,Economics,Bhubaneswar,2016,,,,Kolkata,Mangalore,1415042,N,D,6,2,1,1,1692390
58,18229,15,1,Analytics/BI,Others,Training,N,Consultant,PG,Engineering,Nagpur,1996,Engineering,Nagpur,1998,Engineering,Bangalore,2005,Mumbai,Ahmedabad,2240109,N,C,2,8,2,0,2679170
59,21955,4,0,Marketing,Financial Analyst,IT,H,Research Analyst,PG,Statistics,Surat,2008,Statistics,Surat,2010,Statistics,Mumbai,2016,Kanpur,Mangalore,951747,Y,B,5,5,1,0,1256306
60,35606,2,0,Marketing,Bio statistician,BFSI,C,CA,Grad,Statistics,Kolkata,2010,Statistics,Kolkata,2012,Statistics,Jaipur,2018,Ahmedabad,Surat,513471,N,B,3,3,0,0,641838
61,24730,13,12,Education,Business Analyst,Analytics,M,CA,PG,Economics,Kolkata,2000,Economics,Kolkata,2002,Economics,Ahmedabad,2007,Pune,Ahmedabad,1546266,N,B,2,8,1,0,2010145
62,53939,4,2,Others,Project Manager,Telecom,C,,Doctorate,Zoology,Pune,2016,,,,,,,Jaipur,Lucknow,1217420,N,C,3,0,0,0,1512035
63,28986,5,3,Marketing,Team Lead,Telecom,N,Product Manager,Grad,Mathematics,Surat,2008,Mathematics,Surat,2010,Mathematics,Lucknow,2015,Ahmedabad,Kolkata,500687,Y,C,6,6,0,0,589609
64,30142,22,5,IT-Software,Consultant,Automobile,M,Software Developer,PG,Others,Ahmedabad,1991,Mathematics,Ahmedabad,1993,Chemistry,Jaipur,1998,Kanpur,Mangalore,3748584,Y,Key_Performer,5,5,0,0,4948130
65,21528,22,21,Marketing,Others,Aviation,I,Medical Officer,Grad,Psychology,Mangalore,1998,Psychology,Mangalore,2009,,,,Mangalore,Ahmedabad,2577817,Y,Key_Performer,6,2,0,0,3299605
66,34071,9,3,IT-Software,Sales Execituve,Insurance,M,Marketing Manager,Under Grad,,,,,,,,,,Pune,Mumbai,1385073,Y,A,2,4,2,0,1800594
67,56603,24,22,Top Management,Sr. Business Analyst,Insurance,I,Assistant Manager,Grad,Engineering,Guwahati,1996,Engineering,Guwahati,2012,,,,Kanpur,Jaipur,2681512,N,D,6,0,0,0,3083738
68,57184,24,8,HR,Project Manager,Aviation,K,Consultant,Doctorate,Others,Surat,1989,Zoology,Surat,1991,Sociology,Ahmedabad,1996,Kanpur,Kolkata,2452799,N,D,4,5,0,0,3046376
69,34083,1,1,Engineering,Project Manager,FMCG,L,Network Engineer,Doctorate,Others,Bangalore,2019,Sociology,Bangalore,2022,,,,Lucknow,Lucknow,777519,N,B,2,0,0,0,971898
70,58262,23,7,Healthcare,Head,IT,N,Research Analyst,Under Grad,,,,,,,,,,Bhubaneswar,Delhi,1694850,N,D,6,0,2,1,1949077
71,55335,2,2,HR,Associate,Insurance,J,Research Analyst,PG,Zoology,Jaipur,2018,,,,,,,Bhubaneswar,Bhubaneswar,781291,N,B,2,0,0,0,1015678
72,16917,16,9,Analytics/BI,Others,FMCG,A,Medical Officer,PG,Sociology,Kolkata,1998,Sociology,Kolkata,2000,Others,Pune,2004,Kolkata,Lucknow,2631776,N,B,3,3,0,0,3421308
73,40136,23,23,Others,Analyst,IT,C,Marketing Manager,Grad,Chemistry,Ahmedabad,1989,Chemistry,Ahmedabad,1991,Others,Surat,1997,Pune,Kanpur,2544577,Y,C,4,8,0,0,2996493
74,48595,9,9,IT-Software,Principal Analyst,FMCG,M,HR,PG,Chemistry,Ahmedabad,2002,Chemistry,Ahmedabad,2004,Chemistry,Surat,2011,Guwahati,Chennai,1373725,Y,Key_Performer,4,4,1,0,1813317
75,46881,15,10,Accounts,Analyst,Automobile,C,HR,PG,Engineering,Nagpur,1997,Engineering,Nagpur,1999,Engineering,Mumbai,2005,Kolkata,Pune,1765033,N,B,4,7,1,0,2294542
76,56390,25,9,Accounts,Bio statistician,BFSI,N,Consultant,Grad,Mathematics,Bhubaneswar,1986,Mathematics,Bhubaneswar,1988,Mathematics,Ahmedabad,1995,Pune,Mangalore,1424675,Y,C,4,8,0,0,1677697
77,50328,10,7,IT-Software,Others,Retail,C,Medical Officer,Grad,Chemistry,Kolkata,2010,Chemistry,Kolkata,2017,,,,Kanpur,Pune,1812038,N,D,3,2,0,0,2083843
78,47322,9,4,Sales,Scientist,Aviation,P,Others,PG,Economics,Ahmedabad,2004,Economics,Ahmedabad,2006,Economics,Delhi,2011,Kanpur,Delhi,1112326,N,A,3,5,1,0,1446023
79,56864,2,2,Marketing,,FMCG,E,Marketing Manager,Under Grad,,,,,,,,,,Delhi,Bangalore,445521,N,B,2,1,3,0,556901
80,55361,10,1,Top Management,Bio statistician,BFSI,I,Director,Grad,Statistics,Mangalore,2003,Statistics,Mangalore,2005,Statistics,Delhi,2010,Kolkata,Nagpur,1998929,Y,B,4,4,0,0,2558629
81,48977,3,1,Marketing,Consultant,Insurance,B,Software Developer,PG,Mathematics,Guwahati,2011,Others,Guwahati,2013,Botony,Delhi,2017,Surat,Surat,661906,Y,C,1,3,0,0,803818
82,15885,3,2,Analytics/BI,Analyst,Telecom,A,Research Analyst,Doctorate,Botony,Kolkata,2008,Others,Kolkata,2010,Arts,Kolkata,2017,Bangalore,Lucknow,1305809,Y,B,2,7,0,0,1828132
83,21381,23,17,Analytics/BI,Financial Analyst,Automobile,C,Director,PG,Statistics,Guwahati,1989,Statistics,Guwahati,1991,Statistics,Bhubaneswar,1997,Ahmedabad,Nagpur,3553425,Y,Key_Performer,4,3,1,0,4690521
84,52453,3,2,Analytics/BI,Data scientist,Aviation,N,Consultant,Grad,Psychology,Mangalore,2010,Psychology,Mangalore,2012,Psychology,Ahmedabad,2017,Kanpur,Mangalore,564283,N,D,1,4,0,0,648925
85,33027,11,8,Engineering,Head,BFSI,J,Consultant,PG,Mathematics,Surat,2009,Mathematics,Surat,2019,,,,Delhi,Bangalore,1789587,Y,Key_Performer,6,1,1,0,2362254
86,22122,8,6,Others,Scientist,IT,K,Product Manager,Grad,Statistics,Pune,2004,Statistics,Pune,2006,Statistics,Ahmedabad,2012,Bhubaneswar,Bhubaneswar,1306648,N,A,1,6,0,0,1698642
87,40575,5,0,Analytics/BI,Data scientist,IT,I,,Grad,Sociology,Mangalore,2009,Others,Mangalore,2011,Zoology,Pune,2015,Bangalore,Kanpur,626042,N,A,4,3,0,1,813854
88,49629,23,12,Banking,Bio statistician,Telecom,P,,PG,Zoology,Surat,1991,Others,Surat,1993,Zoology,Mumbai,1997,Mumbai,Nagpur,2506941,N,C,3,3,2,0,2998301
89,37357,17,2,,Business Analyst,Analytics,N,Consultant,PG,Sociology,Jaipur,2003,Sociology,Jaipur,2014,,,,Jaipur,Guwahati,3407677,N,Key_Performer,4,2,1,0,4429980
90,46403,14,3,Sales,Others,Insurance,E,Consultant,Grad,Engineering,Bangalore,2000,Engineering,Bangalore,2002,Engineering,Bangalore,2006,Jaipur,Chennai,1956077,Y,A,6,8,0,0,2503778
91,22105,4,2,Marketing,Associate,FMCG,P,Software Developer,Doctorate,Chemistry,Delhi,2007,Chemistry,Delhi,2009,Chemistry,Pune,2016,Kolkata,Mumbai,952604,N,C,2,6,0,0,1183134
92,57813,15,6,HR,Analyst,Retail,A,Director,PG,Others,Jaipur,1999,Mathematics,Jaipur,2001,Economics,Mangalore,2005,Mumbai,Lucknow,1465915,Y,D,6,3,0,0,1780207
93,41766,5,3,HR,Sales Execituve,Retail,C,Medical Officer,PG,Botony,Pune,2015,Botony,Pune,2017,,,,Bhubaneswar,Bhubaneswar,946212,N,C,5,1,1,0,1131669
94,16327,11,5,Education,Project Manager,Automobile,I,HR,Doctorate,Chemistry,Bangalore,2001,Chemistry,Bangalore,2003,Chemistry,Jaipur,2009,Nagpur,Pune,1979283,Y,D,6,6,0,0,2549316
95,31799,11,3,Education,Business Analyst,Aviation,A,Manager,PG,Sociology,Kolkata,2009,,,,,,,Jaipur,Nagpur,1294684,N,D,6,0,1,0,1548442
96,59528,1,0,Others,Team Lead,Aviation,N,HR,Under Grad,,,,,,,,,,Jaipur,Surat,505992,N,C,3,5,3,0,581890
97,45947,11,3,HR,Team Lead,IT,G,Director,Grad,Economics,Nagpur,2003,Economics,Nagpur,2005,Economics,Mumbai,2009,Ahmedabad,Mangalore,1863415,Y,D,3,6,0,0,2194357
98,22396,15,6,Banking,Financial Analyst,BFSI,I,CA,PG,Mathematics,Nagpur,1996,Mathematics,Nagpur,1998,Mathematics,Guwahati,2005,Delhi,Jaipur,2445297,Y,Key_Performer,4,4,4,0,3227792
99,15080,9,0,Marketing,Others,Training,O,,Grad,Botony,Jaipur,2011,,,,,,,Jaipur,Chennai,969711,N,B,6,0,0,0,1212138
100,32464,12,10,Engineering,CEO,Retail,N,Research Analyst,Under Grad,,,,,,,,,,Mumbai,Lucknow,1285688,N,C,6,7,0,1,1478541
101,45564,18,4,Sales,CEO,Aviation,E,CA,Grad,Mathematics,Delhi,1996,Mathematics,Delhi,1998,Mathematics,Ahmedabad,2002,Surat,Pune,2337632,N,A,5,8,0,0,2922040
102,41640,4,0,HR,Others,Training,O,Medical Officer,PG,Botony,Mangalore,2010,Botony,Mangalore,2012,Botony,Nagpur,2016,Bangalore,Delhi,861644,N,D,3,3,1,0,1030526
103,47054,5,1,Marketing,Sales Execituve,Automobile,K,Consultant,Grad,Zoology,Ahmedabad,2008,Zoology,Ahmedabad,2010,Zoology,Lucknow,2015,Surat,Bangalore,542398,N,C,2,4,0,0,623757
104,37780,19,5,Marketing,Sales Execituve,Analytics,F,Network Engineer,PG,Statistics,Jaipur,1992,Statistics,Jaipur,1994,Statistics,Bangalore,2001,Bangalore,Jaipur,3471444,Y,Key_Performer,6,7,3,0,4582306
105,13705,20,5,Engineering,Senior Researcher,Telecom,K,,Under Grad,,,,,,,,,,Lucknow,Kanpur,2293633,Y,Key_Performer,2,3,1,0,2981722
106,36986,1,1,,Associate,Telecom,H,Research Analyst,Grad,Psychology,Bhubaneswar,2019,,,,,,,Surat,Lucknow,472018,N,B,1,1,3,0,590022
107,34234,15,14,HR,Sales Manager,Insurance,B,Software Developer,PG,Economics,Nagpur,2005,Economics,Nagpur,2017,,,,Pune,Ahmedabad,1573952,N,C,5,0,0,0,1882446
108,46467,16,5,Engineering,Others,Insurance,D,Web Designer,Doctorate,Economics,Mangalore,2004,Economics,Mangalore,2018,,,,Bangalore,Ahmedabad,3033202,Y,B,5,1,0,0,4246482
109,24254,13,4,,Others,Others,G,Medical Officer,Grad,Psychology,Surat,1999,Psychology,Surat,2001,Psychology,Bangalore,2007,Surat,Nagpur,1971569,N,A,6,8,0,0,2464461
110,26597,18,3,Marketing,Head,IT,A,Software Developer,Doctorate,Statistics,Guwahati,1995,Others,Guwahati,1997,Botony,Kolkata,2002,Guwahati,Kanpur,3686139,Y,Key_Performer,6,7,0,1,5160594
111,47044,5,5,Banking,Team Lead,Aviation,P,Director,Grad,Economics,Kolkata,2008,Economics,Kolkata,2010,Economics,Pune,2015,Kolkata,Pune,630062,Y,Key_Performer,5,7,0,0,838738
112,37497,25,15,,Bio statistician,Training,G,Product Manager,Doctorate,Botony,Bhubaneswar,1995,,,,,,,Delhi,Ahmedabad,3443850,Y,Key_Performer,5,1,0,0,4821390
113,56393,16,15,IT-Software,Sales Execituve,FMCG,H,Assistant Manager,PG,Chemistry,Surat,1998,Chemistry,Surat,2000,Chemistry,Pune,2004,Mangalore,Ahmedabad,2300586,Y,C,6,4,1,0,2793831
114,27095,9,6,Banking,Sales Manager,Insurance,H,Marketing Manager,Under Grad,,,,,,,,,,Kanpur,Bhubaneswar,1825369,Y,D,4,5,1,0,2183141
115,36548,5,0,HR,Others,IT,D,Sr.Manager,Doctorate,Botony,Lucknow,2015,Botony,Lucknow,2011,,,,Lucknow,Kolkata,1361036,N,Key_Performer,5,0,0,0,1910894
116,53464,13,0,Analytics/BI,Financial Analyst,FMCG,J,Research Analyst,Doctorate,Mathematics,Ahmedabad,2000,Mathematics,Ahmedabad,2002,Mathematics,Pune,2007,Guwahati,Bhubaneswar,1668292,Y,Key_Performer,2,3,0,0,2335608
117,14922,24,11,Analytics/BI,Analyst,IT,H,Network Engineer,Under Grad,,,,,,,,,,Nagpur,Bangalore,2183770,N,D,4,7,3,0,2511335
118,26152,5,2,HR,Consultant,Telecom,P,Product Manager,Grad,Zoology,Kolkata,2009,Zoology,Kolkata,2011,Zoology,Lucknow,2015,Chennai,Bhubaneswar,508534,N,B,1,3,0,0,635667
119,25809,18,13,Analytics/BI,Analyst,BFSI,L,Software Developer,Grad,Others,Surat,1995,Economics,Surat,1997,Others,Nagpur,2002,Lucknow,Delhi,2514589,Y,B,2,6,4,0,3218673
120,36971,6,0,Education,Bio statistician,BFSI,K,HR,PG,Sociology,Guwahati,2005,Sociology,Guwahati,2007,Sociology,Nagpur,2014,Nagpur,Mangalore,1000316,N,C,5,8,0,0,1196377
121,17855,12,9,Marketing,Financial Analyst,Aviation,L,Network Engineer,PG,Statistics,Mumbai,2001,Statistics,Mumbai,2003,Statistics,Delhi,2008,Pune,Ahmedabad,2307887,Y,Key_Performer,3,7,0,0,3046410
122,27307,13,2,Education,Consultant,Insurance,E,Product Manager,PG,Statistics,Bangalore,2000,Others,Bangalore,2002,Chemistry,Mumbai,2007,Kolkata,Ahmedabad,1489592,Y,A,2,5,1,0,1966261
123,18107,10,6,Engineering,Project Manager,BFSI,M,Research Analyst,Doctorate,Botony,Jaipur,2002,Botony,Jaipur,2004,Botony,Lucknow,2010,Nagpur,Bhubaneswar,1897846,N,A,2,8,0,0,2562092
124,56873,20,3,Education,Sales Manager,BFSI,F,Assistant Manager,PG,Botony,Jaipur,1993,Botony,Jaipur,1995,Others,Mumbai,2000,Surat,Jaipur,2119193,Y,Key_Performer,4,6,1,0,2797334
125,50488,7,1,,Bio statistician,Aviation,H,Medical Officer,PG,Arts,Nagpur,2006,Arts,Nagpur,2008,Arts,Guwahati,2013,Ahmedabad,Bhubaneswar,1383039,Y,Key_Performer,3,3,1,0,1898635
126,27943,10,8,Analytics/BI,Senior Researcher,Insurance,I,Sr.Manager,Doctorate,Arts,Bangalore,2002,Arts,Bangalore,2004,Arts,Jaipur,2010,Jaipur,Pune,1715332,N,A,1,4,0,0,2315698
127,21294,8,1,Engineering,Bio statistician,BFSI,G,,PG,Sociology,Nagpur,2012,Sociology,Nagpur,2009,,,,Ahmedabad,Pune,1814903,N,D,3,0,1,0,2170623
128,21025,14,10,Banking,Financial Analyst,Others,L,Data Analyst,Under Grad,,,,,,,,,,Mangalore,Jaipur,1347703,Y,Key_Performer,2,3,3,0,1752013
129,18775,1,0,Healthcare,Business Analyst,Analytics,I,Marketing Manager,Under Grad,,,,,,,,,,Pune,Nagpur,499723,N,D,3,8,2,0,574681
130,11972,21,9,Banking,Head,Aviation,M,Manager,Grad,Chemistry,Nagpur,1992,Chemistry,Nagpur,1994,Chemistry,Bangalore,1999,Bangalore,Guwahati,2490503,Y,Key_Performer,4,8,0,1,3187843
131,15623,10,8,Sales,Financial Analyst,Aviation,I,Consultant,Grad,Engineering,Kolkata,2004,Engineering,Kolkata,2006,Engineering,Mumbai,2010,Bangalore,Guwahati,1917907,Y,Key_Performer,4,5,0,0,2454920
132,50793,2,1,Others,Team Lead,IT,N,Director,Doctorate,Statistics,Lucknow,2018,Statistics,Lucknow,2013,,,,Mumbai,Mangalore,722878,N,D,3,0,0,0,877863
133,10991,11,4,Analytics/BI,Team Lead,Telecom,F,Product Manager,PG,Psychology,Lucknow,2009,Psychology,Lucknow,2020,,,,Lucknow,Bangalore,2472884,N,Key_Performer,2,1,0,0,3214749
